Englisch,Deutsch
ensconced,versteckt
to forgo sth.,etwas aufgeben; auf etwas verzichten
to leverage,hebeln; zum Durchbruch verhelfen
holistic,ganzheitlich; gesamtheitlich
incentive,anspornend; anreizend; antreibend; anfeuernd
disparate,verschieden; ungleich; ungleichartig; grundverschieden
steam,Dampf; Wasserdampf
dispersed,zerstreut; verstreut; aufgelöst
to preempt,vorwegnehmen; zuvorkommen
to thrive,gedeihen; florieren; aufblühen
to excel,überbieten; ausstechen; sich auszeichnen
to perceive,wahrnehmen; bemerken; erkennen
venture,Projekt; Unternehmen; Wagnis; Risiko; Spekulation
to reap,ernten; erlanten; einheimsen
mundanely,weltlich
aseptic,keimfrei; steril; aseptisch
conceiving,ersinnend
to pan out,sich bezahlt machen; aufgehen; sich entwickeln
to refine,weiterentwickeln; veredeln; raffinieren
to fare better,besser abschneiden
to fare the worst,am schlechtesten abschneiden
to obtain,abrufen; akquirieren; bekommen; erwirtschaften
complacency,Selbstgefälligkeit; Selbstzufriedenheit; Bequemlichkeit
to reexamine,nachprüfen
leverage,Einfluss; Druckmittel; Hebelkraft; Fremdkapitalaufnahme; Verschuldungsgrad
ubiquitous,allgegenwärtig; omnipräsent
steep,steil
conversely,umgekehrt
to yield sth.,etw. hervorbringen; etw. erbringen; etw. ergeben
to precede,vorangehen; voranstehen; vorausgehen
niche,Nische
to munge sth.,etw. verschleiern
to parse,analysieren; aufgliedern; zergliedern
to exact,abverlangen; eintreiben; fordern
friction,Reibung; Spannung
morphing,Verwandlung
to exacerbate,verschlimmern; erschweren; verschärfen
magnified,vergrößert
slew,Menge
unconstrained,zwanglos; locker; ungezwungen
to mold sth.,etw. bilden
to mold sb.'s character,jdn. prägen
longitudinal study,Langzeitstudie
hunch,Ahnung; Vermutung
evenhanded,unparteiisch
to opt out,aussteigen; sich abmelden; die Zustimmung verweigern; sich ausklinken
distinctive,charakterischtisch; bezeichnend; unverwechselbar
to assess,abschätzen; ermessen; evaluieren
detrimental,schädlich; nachteilig
to usher,einführen; geleiten
to examine,begutachten
liabilities,Verpflichtungen; Verbindlichkeiten
accounts receivable,Außenstände; Forderungen
asset,Vermögen; Gewinn
accounts payable,Kreditorenkonto; Schuldposten; Verbindlichkeiten
deducted,abgezogen; abgerechnet
depreciation,Abschreibung; Wertminderung
gross,brutto
to talk turkey,Tacheles reden; offen reden; sachlich reden
pervasive,beherrschend durchdringend; tiefgreifend
pothole,Schlagloch; Grube
deprecating,ablehnend; abwehrend; missbilligend
alluding,anspielend
stumbling block,Hemmschuh; Hindernis; Stolperstein
insidious,heimtückisch; hinterhältig; hinterlistig
no-op instruction,Leerbefehl
inadvertently,versehentlich; irrtümlich; ungewollt
to embark,an Bord gehen
prudent,vernünftig; besonnen
to surmise,argwöhnen; mutmaßen; erahnen
caveat,Vorbehalt; Einspruch; Warnung
to converge,sich annähern; sich angleichen
proponent,Befürwörter; Anhänger; Verfechter
to go pear-shaped,schiefgehen; völlig danebengehen
succinct,prägnant; knapp; kurz
to discern,feststellen
to discern sth.,etw. erkennen
to be raring to do sth.,"es kaum erwarten können, etw. zu tun"
to behoove sb.,jdm. obliegen
trite,banal; abgedroschen; trivial; einfallslos
digression,Exkurs; Abschweifung; Ausschweifung
terseness,Knappheit; Bündigkeit; Kürze
to rein in,in Schranken halten
enticing,verlockend; verführerisch
contemptuous,herablassend; verachtend; geringschätzig
to inhibit sb. from doing sth.,"jdn. davon abhalten, etw. zu tun"
to remedy,abstellen; bessern; Abhilfe schaffen
to reveal,aufzeigen; offenbaren
courtesy,Höflichkeit; Zuvorkommenheit; Gefälligkeit
mediocrity,Mittelmäßigkeit; Mittelmaß
traits,Eigenschaften; Züge; Merkmale
to interject,einwerfen
it is incumbent upon sb. to do sth.,"es obliegt jdm., etw. zu tun"
presumptuous,überheblich; vermessen; dreist; anmaßend; unbescheiden
inquisitive,neugierig; wissbegierig
to defer,abwarten; aufschieben; verzögern
palpable,greifbar; fühlbar; spürbar
to coerce,nötigen; zwingen
deficiencies,Mängel; Defizite; Unzulänglichkeiten
onus,Last; Pflicht; Bürde
alas,leider; leider Gottes
Alas!,Ach!
to ascertain sth.,etw. feststellen; etw. ermitteln; etw. sicherstellen
to bode well,etwas Gutes verheißen; ein gutes Zeichen
to bode ill,Böses ahnen lassen; nichts Gutes verheißen
superfluous,überflüssig; unnötig; entbehrlich
precedence,Vorrang; Priorität
to compel,erzwingen; nötigen; verdonnern
cumbersome,schwerfällig; mühselig; umständlich
disconcerting,beunruhigend; befremdlich; unangenehm
profound,tiefgreifend; tiefgründig; fundiert
to accede,beipflichten; zustimmen
deemed necessary,für notwendig gehalten
deemed appropriate,für angebracht gehalten; für angemessen gehalten
to infer,ermessen; folgern; rückschließen
in lieu of,statt; anstatt dessen
to forgo sth.,etw. aufgeben; auf etw. verzichten
wherein,worin
to resort to sth.,auf etw. zurückgreifen
recourse,Zuflucht; Rückgriff
discombobulating,verwirrend
to deduce,ableiten; folgern; herleiten; rückschließen
pertinent,sachdienlich; angemessen; relevant
a tad,ein bisschen; etwas
sparse,dürftig; spärlich
thorough,gründlich; sorgfältig; umfassend
unprecedented,beispiellos; ohnegleichen
to craft sth.,etw. anfertigen
intangible,immateriell; nicht greifbar
aforementioned,obengenannt; besagt
appraisal,Bewertung; Beurteilung; Einschätzung; Begutachtung
carrying cost,Fuhrgeld
interest-bearing loan,zinspflichtiges Darlehen
leveraged,fremdfinanziert; kreditgestützt
to deduct,abrechnen; abbuchen; absetzen
contrived,erfunden; gekünstelt; ausgedacht
to concede,einräumen; zugestehen; eingestehen
canonical,anerkannt; autorisiert
glaring,offenkundig; eklatant
omission,Auslassung; Versäumnis
versed,versiert; bewandert
affectionately,liebevoll; schmeichelnd; gütig
albeit,obgleich; wenn auch
albeit grudgingly,wenn auch nur widerwillig
common denominator,gemeinsamer Nenner
to grok,schnallen; verstehen; begreifen
cart horse,Zugpferd
cumulative,gesamt; kumulativ; zunehmend; anwachsend
meticulously,sorgfältig; pingelig; akribisch
inordinately,"übertrieben, übermäßig"
maintenance,Aufrechterhaltung; Instandhaltung; Wartung
windfall,Glücksfall; Geldregen; unverhoffter Glücksfall
nonrecurring,einmalig; nicht wiederkehrend
distortion,Verzerrung; Verfälschung
merit,Verdienst; Wert; Leistung
duly,ordnungsgemäß; ordentlich
enacted,verordnet; beschlossen
to skimp,nachlässig erledigen
to reverberate,nachhallen; reflektieren
savvy,clever; klug; schlau; gerissen
nifty,raffiniert; schick; elegant
inclination,Neigung; Tendenz; Hang; Vorliebe
gauge,Maßstab
to come to the fore,hervortreten; in den Vordergrund treten
facet,Facette; Aspekt
pernicious,schädlich; bösartig; verderblich
singleton,Einzelstück; Einzelkind
arduous,anstrengend; mühsam; beschwerlich
astute,scharfsinnig; clever; gerissen; aufgeweckt
unobtrusive,unauffällig; unaufdringlich; bescheiden
no demand,kein Bedarf
it's a piece of cake,es ist ein Kinderspiel
wielded,gehandhabt
forecast,Prognose; Vorhersage
earmarked,bereitgestellt; zweckgebunden; vorgemerkt
magnitude,Größenordnung; Ausmaß; Betrag
feasible,machbar; möglich; realisierbar
to conceive of sth.,sich etw. vorstellen; auf etwas kommen
heretofore,bisher; bislang
inadverdently,versehentlich; unbeabsichtigt; irrtümlich
time and again,immer wieder
elusive,trügerisch
to imperil sb./sth.,jdn./etw. gefährden
unravel,etw. enträtseln
confounded,verwirrt; bestürzt
unbridled,ungezügelt; hemmungslos
hardship,Not; Elend
to be slow off the mark,nicht schnell genug reagieren; schwer von Begriff sein
run-of-the-mill; cookie-cutter,nullachtfünfzehn
amenable,zugänglich
coercion,Nötigung
to dissipate,auflösen; verschwenden
stained,beschmutzt; befleckt
first and foremost,zuallererst; in erster Linie; vor allen Dingen
perception,Wahrnehmung; Auffassung; Vorstellung
technically speaking,streng genommen
pertaining to,betreffend; verbunden mit
rest assured,seien Sie versichert; Sie können damit rechnen
to err,irren; sich täuschen; sich irren
layman,Laie
arcane,geheimnisvoll; undurchsichtig; verborgen; nicht zugänglich
quest for sth.,Bemühen um etw.; Streben nach etw.
daunting,beängstigend; entmutigend; abschreckend
cogs,Zahnräder
lavish,verschwenderich; großzügig; überschwenglich; üppig